35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
0:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,0:0
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
0:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,0:0
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
35:8,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,98:0,35:8
0:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,0:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,0:0,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,35:8,0:0
0:0,69:14,124:0,35:1,35:1,35:1,64:3,35:1,35:1,35:1,124:0,69:14,69:13,124:0,35:1,35:1,35:1,35:1,64:7,35:1,35:1,35:1,35:1,124:0,69:13,69:13,124:0,35:1,35:1,35:1,64:7,35:1,35:1,35:1,124:0,69:14,0:0
69:14,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,11:8,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,11:8,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
69:13,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:13,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
0:0,35:1,0:0,0:1,0:1,0:0,0:0,0:1,0:1,0:1,0:0,0:14,0:0,0:14,0:0,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:0,0:14,0:0,0:14,0:0,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:0,35:1,0:0
69:14,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,20:0,20:0,20:0,20:0,20:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,20:0,0:0,0:0,0:0,0:0,-101:1,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,0:0,0:0,0:0,0:0,-100:3,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,0:0,0:0,0:0,0:0,0:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,20:0,20:0,20:0,20:0,20:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
69:13,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
0:0,35:1,0:0,0:1,0:1,0:0,0:0,0:1,0:1,0:1,0:0,0:0,0:0,0:14,0:0,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:0,0:14,0:0,0:0,0:0,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:0,35:1,0:0
69:14,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:13,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,11:8,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,11:8,20:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0
69:13,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,35:1,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,35:1,124:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,124:0,69:13
0:0,69:14,124:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,124:0,69:14,0:0,69:14,124:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,124:0,69:14,0:0,69:14,124:0,35:1,35:1,35:1,35:1,35:1,35:1,35:1,124:0,69:14,0:0
0:0,0:0,35:1,35:1,35:1,35:1,64:8,35:1,35:1,35:1,35:1,0:0,0:0,35:1,35:1,35:1,35:1,35:1,64:8,35:1,35:1,35:1,35:1,35:1,0:0,0:0,35:1,35:1,35:1,35:1,64:8,35:1,35:1,35:1,35:1,0:0,0:0
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,35:1,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,11:8,20:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,20:0,11:8,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:1,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
0:0,35:1,0:1,0:1,0:1,0:0,0:0,0:1,0:1,0:1,0:1,0:0,0:0,0:0,0:1,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:1,0:0,0:0,0:0,0:1,0:1,0:1,0:1,0:0,0:1,0:1,0:1,0:1,35:1,0:0
0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,20:0,20:0,20:0,20:0,20:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,20:0,0:0,0:0,0:0,-100:1,0:0,20:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,0:0,0:0,0:0,0:0,0:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,20:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,-101:2,0:0,0:0,0:0,0:0,0:0,-101:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1
