0:0,35:8,0:0,0:0,113:0,0:0,113:0,0:0,0:0,0:0,0:0,35:8,0:0
0:0,0:0,35:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,35:1,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,44:13,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,98:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,35:8,0:0,0:0,0:0,98:0,0:0,0:0,0:0,35:8,0:0,0:0
0:0,0:0,0:0,98:0,98:0,98:0,124:0,98:0,98:0,98:0,0:0,0:0,0:0
0:0,0:0,35:8,0:0,0:0,0:0,98:0,0:0,0:0,0:0,35:8,0:0,0:0
0:0,0:0,0:0,35:1,0:0,0:0,98:0,0:0,0:0,35:1,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:1,0:0,98:0,0:0,35:1,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:8,35:8,0:0,35:8,35:8,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:8,35:8,35:8,0:0,35:8,35:8,35:8,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,69:14,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,35:8,35:8,35:8,0:0,35:8,35:8,35:8,0:0,0:0,0:0
0:0,0:0,0:0,0:0,35:8,35:8,0:0,35:8,35:8,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,35:8,0:0,35:8,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0
